,bathrooms,bedrooms,building_id,created,description,display_address,features,interest_level,latitude,listing_id,longitude,manager_id,photos,price,street_address
100583,1.0,2,ce6d18bf3238e668b2bf23f4110b7b67,2016-04-30 04:14:25,"You will immediately notice the two California-style closets on your left and right hand side that provide the apartment with efficient storage solutions. Proceed through the lengthy hallway/foyer and you will be led into the newly renovated, marble bath including a beautifully curated floating vanity. The fully equipped, pass-thru, gourmet kitchen features custom cabinetry, granite counter tops, and stainless steel appliances (including a dishwasher, refrigerator, stove top, microwave, and ventilation system).<br /><br />The living space is an effortless FLEX 2 bedroom conversion - living space, perfect for couples and roommate scenarios. Large windows that span the entire Southern wall flood the cherry hardwood floors throughout the unit with tons of natural light, creating a serene and peaceful living environment saturated with Vitamin D! (A source of nourishment fairly scarce in the Financial District).<br /><br />Situated on John St, you are surrounded by an endless amount of options in terms of fine dining, shopping, culture, and activities. South St Seaport is a short walk from your doorsteps. 55 Fulton Market is conveniently located one block to the North. NYC's Financial District and all its famous attractions are a five minute walk to the South-West. Transit options are also in abundance in the area. The primary hub is the newly renovated Fulton Street Station (operational 24 hours a day) where you can catch eight different train lines (including 2, 3, 4, 5, A, C, J, Z) and transfers are available to eight different BUS lines (including M5, X1, X3, X4, X17, X19, X2, X28).<br /><br />To schedule an immediate private showing for this and similar NO FEE units, contact John Vakalopoulos at (501-606-3449 or email me at kagglemanager@renthop.com<p><a  website_redacted ",John Street,"['Swimming Pool', 'Doorman', 'Elevator', 'Fitness Center', 'Loft', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",low,40.7081,6947000,-74.0065,e6472c7237327dd3903b3d6f6a94515a,"['https://photos.renthop.com/2/6947000_df1264bdf09f1408e792b660751962d7.jpg', 'https://photos.renthop.com/2/6947000_6ef9a51b4d289a51688d54ddda4e8394.jpg', 'https://photos.renthop.com/2/6947000_7ae5aa2c62b9f3ed93c30a424c16c94f.jpg', 'https://photos.renthop.com/2/6947000_a700691129220d2583fb091cbd5258ff.jpg']",3460,100 John Street
100591,1.0,0,cd6e0616a89b2687b8d7b80a1e982ac2,2016-04-08 05:59:17,"58TH! LARGE SPACIOUS STUDIO W/ SEPARATE KITCHEN!Just listed studio filled with natural sun light,  great closet space- 3 huge closets. Separate kitchen with marble tile bathroom.Come with paperwork! won't last long.<br /><br />To schedule a viewing, please contact Sean @ 882-655-2114<br /><br /><br /><br /><p><a  website_redacted ",East 58th Street,"['Pre-War', 'Dishwasher', 'Hardwood Floors', 'No Fee']",medium,40.759,6844961,-73.9621,fc6e39fa6d54cfbc0109950411df29ca,"['https://photos.renthop.com/2/6844961_5b045cae8b237dd81b2bbac0df8d338e.jpg', 'https://photos.renthop.com/2/6844961_60eea114f365ee5c5ad3d09c1892cae6.jpg', 'https://photos.renthop.com/2/6844961_fea863e4056a7def1a4323a9e176c087.jpg', 'https://photos.renthop.com/2/6844961_ce7549901a4ff5532c8e455210e5205a.jpg']",2000,401 East 58th Street
100593,1.0,0,70093585319d049535fdc64e4f387da3,2016-04-28 02:25:32,"A Comfortable Studio with Amazing Finishes in a Luxury Building!!!A place to call home in this lovely luxury studio. This apartment is highlighted by the planked hardwood floors, stainless steel fully equipped kitchen, large windows, and so much more. The doorman building also includes fitness center, lounge, several laundry rooms, and so much more. This architecturally stunning building is located right on the boarder of Battery Park and FiDi with easy access to both and major subway lines. Call today for this and other excellent apartments in your price range.<br /><br />DERRICK OMANE 232-463-6268 kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",West Street,"['Doorman', 'Elevator', 'Laundry in Building']",low,40.71,6935502,-74.0143,2c3b41f588fbb5234d8a1e885a436cfa,"['https://photos.renthop.com/2/6935502_eb2561ca745afbe9d02c37789fd64b84.jpg', 'https://photos.renthop.com/2/6935502_18789b7df9bfb0dc494c2f8e79d30c88.jpg', 'https://photos.renthop.com/2/6935502_469742ccca6979cdc6d5454e7fbb605a.jpg', 'https://photos.renthop.com/2/6935502_f659200f00dbc9a844ab542a91a2cee7.jpg']",2595,90 West Street
100596,1.0,0,0,2016-04-26 03:35:20,"This is the deal that so many people are hunting for. Recently renovated spacious studio for 1950 dollars. YES THAT PRICE IS CORRECT AND IT IS NOT ON AVE D IN ALPHABET CITY. This price is unheard of for a unit this nice on 1st AVE. Large enough to fit a Queen size bed, full size sofa, table, and TV. NEW BATHROOM, AND KITCHEN. 5 minutes away from UNION SQ. by foot. laundry on the block. The apartment even receives great natural light. *** DON'T MISS THIS. CONTACT DERRICK MEALING DIRECTLY TO VIEW.*** I have connections with the managing party.<br /><br /><br /><br /><br /><br />-------------Listing courtesy of Miron Properties. All material herein is intended for information purposes only and has been compiled from sources deemed reliable. Though information is believed to be correct, it is presented subject to errors, omissions, changes or withdrawal without notice.  Miron Properties is a licensed Real Estate Broker.  www.MironProperties.com<p><a  website_redacted ",First Avenue,[],low,40.7333,6925837,-73.9796,6cfb6df7e33b477a19562916d7fd61a0,"['https://photos.renthop.com/2/6925837_c2c6f1f4ed9f5cd82a16197473a1f243.jpg', 'https://photos.renthop.com/2/6925837_bb00f6b429f60f5a2b6e37900db807c4.jpg', 'https://photos.renthop.com/2/6925837_8a04b0ae90b4c2fb456f8dc67129e04e.jpg', 'https://photos.renthop.com/2/6925837_476bc410a02e68ef49e22bbdd8091a7c.jpg']",1950,55 First Avenue
100597,1.0,0,d8b20f7bd163403c49d242d50607cc0d,2016-04-22 02:13:07,"Bight studio apartmentSpacious All New Studio with Hardwood Floors Dishwasher Bright and in a Well Maintained Elevator Building with Laundry. A Must See To Appreciate! Great Location Laundry in the building<br><p><img src= "" website_redacted width=""1"" height=""1"" /><ul><li><a target=_blank href= website_redacted Jonathan Hernandez for more information</a> </li><li><a target=_blank href= website_redacted full listing information on elliman.com</a> </li></ul></p> ",West 87th Street,"['Elevator', 'Dogs Allowed', 'Cats Allowed']",low,40.7894,6909915,-73.9764,5c50a37609dd7e7863d1afee5da184a6,['https://photos.renthop.com/2/6909915_a20bdb5daf876c5bc65f37dc333f3ba8.jpg'],2350,265 West 87th Street
100598,1.0,2,ecea86b79afa539505aa4bad3ff449c6,2016-04-02 02:10:28,"No fee huge two bedroom apartment. Great location 3rd, close to NYU Medical Center. Beautiful true 2 bedroom apartment, renovated with AC, hardwood floor, new marble bathroom and great view of NY. Elevator building features laundry room and on-site garage.  Call or Email to view!","E 30th St,","['Elevator', 'Central A/C', 'Walk in Closet(s)', 'Parking', 'High Ceilings', 'Hardwood Floors', 'Renovated', 'On-site Laundry', 'No Fee']",high,40.7427,6812831,-73.9794,e6472c7237327dd3903b3d6f6a94515a,"['https://photos.renthop.com/2/6812831_0c54ed22724e845c4d0f750c88e8455a.jpg', 'https://photos.renthop.com/2/6812831_bcb41f7bc43ce318272bd58e8338d768.jpg', 'https://photos.renthop.com/2/6812831_77fb97a9a4ad92443d77f155da47809d.jpg', 'https://photos.renthop.com/2/6812831_c7981659bfa0067e10cbc3d7bfadbcc0.jpg', 'https://photos.renthop.com/2/6812831_dcc214830214a1d47e8d385788348d42.jpg']",2999,"210 E 30th St,"
100600,1.0,2,0,2016-04-13 11:13:37,This Spectacular NO FEE 2 bedroom 1 bathroom apartment in a magnificent area Consist of all the right features for you. Updated & Spacious! with SS appliances & Hardwood Flooring throughout. NO FEE NO FEE. WON'T LAST. Contact now to secure a reservation to view this amazing apartment plus many other NO FEE DEALS.  ,UWS! NO FEE NO FEE****as ,[],medium,40.7865,6868650,-73.9744,4bdc3d8c1aaa90d997ce2cb77680679b,"['https://photos.renthop.com/2/6868650_6546d15ea6292b977790546398774dc3.jpg', 'https://photos.renthop.com/2/6868650_95430a1cab83b048ed6cc3117ab91e3a.jpg', 'https://photos.renthop.com/2/6868650_6683fd5f48f68aaf88a0df8d851bb879.jpg', 'https://photos.renthop.com/2/6868650_c01eb614c47de46caee2b4148bf02315.jpg', 'https://photos.renthop.com/2/6868650_cc07d83cd696e013787f9d5be5b4bc34.jpg', 'https://photos.renthop.com/2/6868650_e4668639f950d226b73f41f21379463d.jpg', 'https://photos.renthop.com/2/6868650_d25fdbec2af13aac6712406c759a4222.jpg']",2500,UWS! NO FEE NO FEE****as 
100601,1.0,1,6e01d34a60782126c24526cf72878117,2016-04-19 01:41:19,"Back on the market! <br />Awesome deal in Long Island City, fantastic 1BD Unit w/ Open Kitchen, spacious layout, South & West Manhattan Views. Available Immediately.<br /><br />Available immediate with new lease at $3160.<br />Bonus- Gym membership and laundry card! <br /><br />Stunning apartment with modern luxury and comfort. Hardwood floors, stainless steel appliances, floor-to-ceiling windows and spacious layout makes your own lifestyle from this dynamic waterfront home so special! <br /><br />Full service building with 12 acres of green parks, a beautiful esplanade, an outdoor sports park, and a brand new K-8 school around the corner.<br /><br />Gorgeous views in Long Island City waterfront and just 1 stop away from Grand Central.",Center Boulevard,"['Doorman', 'Elevator', 'Parking', 'Cats Allowed', 'Dogs Allowed', 'Laundry Room']",low,40.7481,6891734,-73.9564,68f2877dad7ec5834e3b786f52d4e3b5,"['https://photos.renthop.com/2/6891734_5c8ac4fffac3ecd4781ee90ad225887d.jpg', 'https://photos.renthop.com/2/6891734_ac29a688f67f6826d364d6c76096e2e2.jpg', 'https://photos.renthop.com/2/6891734_b9bbd8092b856018f71d2bc82e431ce7.jpg', 'https://photos.renthop.com/2/6891734_aafb41448bb0bfe21ff519ed8cf52505.jpg', 'https://photos.renthop.com/2/6891734_3b5ed49befceedce2cac9e7c98875b6f.jpg', 'https://photos.renthop.com/2/6891734_343b67b20740320a98a1912479380023.jpg', 'https://photos.renthop.com/2/6891734_61e00298606b153f2ea4d6eac35992b2.jpg', 'https://photos.renthop.com/2/6891734_440525f9dfc4b4e3f9ab0f30bd545d18.jpg', 'https://photos.renthop.com/2/6891734_4ad6df14d32eec09fe9a962964f80157.jpg', 'https://photos.renthop.com/2/6891734_fa38e428bc2c624d4fb51b99085073d9.jpg']",3160,4545 CENTER BOULEVARD
100602,1.0,2,6197c99347494d5c6fd366568606c688,2016-04-26 03:33:14,"        L-Train (Dekalb Ave) is at the corner, with Bus services along this same street!! If you have a car, there's amazingly ALWAYS parking available. And if desperate, there's a paid parking lot across the street. Ohhh and for move-in day, no worries about your moving truck!! There's an unloading area next to our lot!! PERFECT. <br /><br />This Railroad-styled apartment remains true to the 1901 design of the building. Unique molding and 10 ft ceilings are WOW. You'll have one huge bedroom, a smaller bedroom (or big office), full sized living room, full sized Kitchen, and full bathroom. Kitchen and Bath are completely renovated with modern design and new appliances. All windows are new and energy efficient. :)<br /><br />Close to Supermarkets, shops, bars and restaurants! Brooklyn Bow Wow Dog DayCare directly across the street!! Post-office and hospital around the corner. Super short walk to Maria Hernandez Park and Doggie Park...So much to do in the area.",Dekalb Ave,"['No Fee', 'Cats Allowed', 'Dogs Allowed']",low,40.7033,6925811,-73.92,324631e1aacaa41bc4475f879756bbb6,"['https://photos.renthop.com/2/6925811_782c4c439b61621e3919856a2ba6c8cc.jpg', 'https://photos.renthop.com/2/6925811_b2031cb99d909c1492104df2121d7211.jpg', 'https://photos.renthop.com/2/6925811_a30db2e8f0aa358dcff112207cbd55ce.jpg', 'https://photos.renthop.com/2/6925811_481737797a2df3d7d946b75dc9bc4e9b.jpg', 'https://photos.renthop.com/2/6925811_2ad180760b7941c33c2c8d226ada2131.jpg']",2000,1578 Dekalb Ave
100604,1.0,0,4a60ed243de2733401a8a7918e7d833b,2016-04-27 05:53:10,"NO BROKER FEE!! Beautiful newly renovated apartment featuring: bleached-plank hardwood floors, recessed lighting, granite countertops, stainless steel appliances, cherry wood cabinets, crown and baseboard moldings, with marble bathroom.Washer & dryer in unit!This building also features a common patio space!<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",E 1 St.,"['Pre-War', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",low,40.7238,6932120,-73.9902,a9171b0aec2df7c31f96da798343d7ea,"['https://photos.renthop.com/2/6932120_517f04121efe670ae127c4a9f0d229d1.jpg', 'https://photos.renthop.com/2/6932120_d024bf6534a8598bc75d6a46d3b82d23.jpg', 'https://photos.renthop.com/2/6932120_679e460e0c12171c525e961b776ba9f6.jpg', 'https://photos.renthop.com/2/6932120_c95abc050417bc32163fd9eec0d4611b.jpg']",2650,39 E 1 St.
100605,1.0,0,cb14c4f807f23ecee1f7469b5159d2de,2016-04-09 02:28:28,"Studio ApartmentDouble windows facing West. Gets great natural light.,<br><p><img src= "" website_redacted width=""1"" height=""1"" /><ul><li><a target=_blank href= website_redacted Alyza Helman for more information</a> </li><li><a target=_blank href= website_redacted full listing information on elliman.com</a> </li></ul></p> ",Wall Street,"['Doorman', 'Elevator', 'Laundry in Unit', 'Dogs Allowed', 'Cats Allowed']",low,40.7047,6847239,-74.0076,5dcb4e5c4364c9363cb7904458668d8d,['https://photos.renthop.com/2/6847239_6d70e5678fe51c3395ba0ef19d0d82b4.jpg'],3138,95 Wall Street
10061,1.0,2,1baadc9bc38b3ccaaf9704e7442f2672,2016-06-07 05:50:54,"HUGE TWO BEDROOM FLEX APARTMENT IN MURRAY HILL. HIGH FLOOR EXTREMELY QUITE WITH A VIEW OF THE CITY. HIGH CEILING AND HARDWOOD FLOORS WITH TONS OF LIGHT. RENOVATED KITCHEN WITH ALL WHITE UPDATED KITCHEN. THE BUILDING HAS A DOORMAN, ELEVATOR, LAUNDRY ROOM THE WORKS. JUST A SHORT WALK TO GYMS AND MASS TRANSIT. JUST A SHORT WALK TO THE LOCAL BARS, CLUBS, RESTAURANTS, FASHION STORES. NO NEED TO CALL A CAB.<br /><br />TO VIEW THIS CALL LAMAR ALI AT 370-831-9420 OR EMAIL kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ",East 35th Street,"['Roof Deck', 'Doorman', 'Elevator', 'Laundry in Building', 'Hardwood Floors']",low,40.7466,7120960,-73.9779,efd6fb6d537509ab0fc98661e76d19b2,"['https://photos.renthop.com/2/7120960_4a3fb22ef1ca01897687e63ddfb9fe5d.jpg', 'https://photos.renthop.com/2/7120960_6106723053316f9807584f5cc370a76c.jpg', 'https://photos.renthop.com/2/7120960_9517a1e211eb64de515b72a785df13fb.jpg', 'https://photos.renthop.com/2/7120960_bc25009b1a6dc1207d837aa7c10307a7.jpg', 'https://photos.renthop.com/2/7120960_baa74eda8e995455bce673a1de71436c.jpg']",3200,165 East 35th Street
100613,1.0,1,0,2016-04-16 01:22:15,"Newly renovated, sunlit, one bedroom apartment featuring a separate windowed kitchen equipped with stainless steel appliances, natural maple shaker cabinets along with granite counter tops and floor, a ceramic tiled, windowed bathroom, and hardwood floor. This pet friendly building has an attended lobby and is located within proximity of local eateries, cafes, the Pioneer Supermarket, Hunter College High School, a New York Sports Club, Central Park, along with public bus transportation and the 6 train. Don't hesitate in contacting me to schedule an appointment for this listing! ",East 92nd Street,"['Doorman', 'Pre-War', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",low,40.7838,6880824,-73.9535,bf4bace5b07506d384aee0ce98896e93,"['https://photos.renthop.com/2/6880824_e7546adc71a2b389a2a920ff86b7c86b.jpg', 'https://photos.renthop.com/2/6880824_40155926e4d44d833e28a4607b9a4322.jpg', 'https://photos.renthop.com/2/6880824_290e7659529c4b783b4375dab9868700.jpg', 'https://photos.renthop.com/2/6880824_998502558bccc46c88eebba64b8ebb48.jpg', 'https://photos.renthop.com/2/6880824_e1a511f137ce76915aea5aca064e1f73.jpg', 'https://photos.renthop.com/2/6880824_8abdc0b171f8938080b95935a306b14b.jpg', 'https://photos.renthop.com/2/6880824_3ca3f9c3040809c7e80b3d54dd7b11b0.jpg']",3850,115 East 92nd Street
100614,1.0,2,4cf50a4036329a5ab9e6241e0b567e79,2016-04-18 03:27:30,"***GORGEOUS***2BR 1BA HARDWOOD FLOORS HIGH CEILINGS front facing two bedroom offers separate windowed kitchen, full windowed bathroom and bedrooms that will accommodate a Queen. ***LOW FEE***<br /><br />Package RoomLaundry RoomGas IncludedElectric IncludedLive in SuperPets AllowedHeat IncludedVideo IntercomHot Water Included<br /><br />FOR A PRIVATE VIEWING CALL/TEXT ZACK ARK 574-766-3744 OR EMAIL kagglemanager@renthop.com ***THIS IS A MUST SEE UNIT ****<br /><br /><p><a  website_redacted ",E 79th St,"['Hardwood Floors', 'No Fee']",low,40.7705,6889991,-73.9485,dbbb6b990661b1e507a387f019bcb1a0,"['https://photos.renthop.com/2/6889991_62d80693fee979df9b2b416bdf422237.jpg', 'https://photos.renthop.com/2/6889991_b3397ed5c5b2e9789417c8b756958cdf.jpg', 'https://photos.renthop.com/2/6889991_dabe86ba4774f42ce63d25cd89f943c7.jpg', 'https://photos.renthop.com/2/6889991_767ab9b6e2dffe1933785d1721e34091.jpg', 'https://photos.renthop.com/2/6889991_2a96de7cddf85f79ed16a7545af1fae6.jpg', 'https://photos.renthop.com/2/6889991_5cb6eb57d8a7a843d376292fb54d48b3.jpg', 'https://photos.renthop.com/2/6889991_0106a41088e0c414c565ae868353869e.jpg']",2750,536 E 79th St
100617,1.0,0,1f8073b8d33c0b499be89854f5700367,2016-04-18 11:23:37,* GREAT VALUE * STUDIO @ 78th / York * PETS OK *CALL NOW MARIANA PASIN 547-183-5661FALO PORTUGUES,East 78th * PRIME UES * ,[],medium,40.7706,6890852,-73.9501,624c1fbd75e5f99e6a7164cce1b1b8a4,"['https://photos.renthop.com/2/6890852_a69d3cb0477ac7deb42a3928bb2f60f1.jpg', 'https://photos.renthop.com/2/6890852_461c1738dcbaf66db00870d5f137ba2d.jpg', 'https://photos.renthop.com/2/6890852_d833ad1e3c6b5e7fc3a787d7f5926026.jpg', 'https://photos.renthop.com/2/6890852_593a4a38b081f42d26aec48ab5cd903b.jpg']",1750,509 East 78th
100619,1.0,4,2f035900aad722988904d238f9bd4268,2016-04-10 02:30:57,"Under market price for the location! Great 3 bedroom apartment in Washington Heights near the parks, mass transit and restaurants. Laundry in the building. Dishwasher<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ",Ft Washington Avenue,"['Elevator', 'Dishwasher', 'Hardwood Floors', 'Dogs Allowed', 'Cats Allowed']",low,40.8441,6851578,-73.9406,7c5e4fc025b70c6540d6b0e06716b9dd,"['https://photos.renthop.com/2/6851578_adb27cd18e427285946c657a7c170246.jpg', 'https://photos.renthop.com/2/6851578_9536015f97243f1fd95ae1bd471a2fc3.jpg', 'https://photos.renthop.com/2/6851578_b4a7d74bb8c84d5216fb57dc317d0b44.jpg', 'https://photos.renthop.com/2/6851578_81d691ab0643c86c265880d6446ae8da.jpg', 'https://photos.renthop.com/2/6851578_9dfc37af5a6ef3317c15d7d5761f39a7.jpg', 'https://photos.renthop.com/2/6851578_25a86208ef6927fe20f51b9bf860910c.jpg', 'https://photos.renthop.com/2/6851578_6a74119832d3ac0bbddf673357d67535.jpg', 'https://photos.renthop.com/2/6851578_397693b4d9a29d425d4b60348eb7760e.jpg', 'https://photos.renthop.com/2/6851578_dacff72af8e56721dc9df6772cdb4e96.jpg']",3200,270 Ft Washington Avenue
100620,1.0,1,96274288c84ddd7d5c5d8e425ee75027,2016-04-07 05:22:17,"This deal won't last long! Fantastic corner 1 bedroom 1 bath apartment with spacious living room , granite kitchen with all new appliances, dishwasher, hardwood floors and ample closets space.<br /><br />This full service luxury High Rise building in Midtown West is complete with a 24HR Doorman, Professional Concierge services, Elevator, Parking, Outdoor Space, On-site super, Laundry Room, Rooftop Deck, Resident lounge with a Sundeck & Pets Allowed. Perfectly located steps from transportation and beautifully situated to enjoy the best the city can offer.<br /><br />To view call 449-593-7152 or email kagglemanager@renthop.com<br /><br /><p><a  website_redacted ",W 37th St.,"['Roof Deck', 'Balcony', 'Doorman', 'Elevator', 'Fitness Center', 'Terrace', 'Laundry in Building', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Outdoor Space', 'Dogs Allowed', 'Cats Allowed']",low,40.7568,6839190,-73.9982,39af186286605963b1d75543e1492c61,"['https://photos.renthop.com/2/6839190_6976106dd3e7cde656b900884c3e69ed.jpg', 'https://photos.renthop.com/2/6839190_7f14f3bd0c5ed2c080a5e9a164fc0a8b.jpg', 'https://photos.renthop.com/2/6839190_32f4298dd16486847c4a6035290ea1e2.jpg', 'https://photos.renthop.com/2/6839190_adb5fcc4774caadf8b4a03b0f709bdf0.jpg', 'https://photos.renthop.com/2/6839190_697e747bfb7255143e1c7b30868edbb4.jpg', 'https://photos.renthop.com/2/6839190_b167421f2c1cf3bfa661ad582bb275be.jpg']",3500,505 W 37th St.
100622,1.0,2,0,2016-04-25 01:12:20,NO FEE! Two bedroom apartment for rent in Clinton Hill! This Two bedroom for rent is situated in a post-war elevator use building. This building features:==Laundry Room====Pet Friendly====Voice Intercom==Text.Call.eMail Damien Andrews for showings or questions. ,Washington Avenue,"['Dogs Allowed', 'Cats Allowed']",low,40.6905,6920989,-73.9668,e3d2eaeebb73f2490096bb3508f5ffa8,"['https://photos.renthop.com/2/6920989_e50c0c1e23d5c853189ff153ea02b627.jpg', 'https://photos.renthop.com/2/6920989_b04f75bdb58381ac63510ad21dce1022.jpg', 'https://photos.renthop.com/2/6920989_39d00393e20842af92087836cc5da3db.jpg', 'https://photos.renthop.com/2/6920989_ce5c85d01aa272632a2fcc33c8427c68.jpg', 'https://photos.renthop.com/2/6920989_b849af32ba46f570d32ddf5b041e4f8b.jpg']",3000,266 Washington Avenue
100624,1.0,2,aed67db466854ec2aa5d249a032bc401,2016-04-20 02:56:35,"Talk about top of the line full service Luxury Apartments in the Prime 3rd Ave. With 24Hr Doorman, Concierge. Mail services, Impeccable lounging area that you'll call second home. Well equipped state of the art fitness center. Modern appliances laundry room. PET Friendly, allowed Vast amount of entertainment at walking distance. From wine bars to steak houses all just baby steps away. 5 Blocks from Grand Central Station, Steps to different Subway line<br /><br />Immense Unit and lots of sunlight.High floors with great view.Bright and shinny hardwood floors.Spacious living room area.Lots of closet space.Massive master bedroom.Tiled bathroom.Well Priced Below Market Value. A must see.Limited time offer.<br /><br />IF YOU HAVE ANY QUESTIONS CONCERNING THE APARTMENT OR ANY OTHER AND IF YOU WOULD ALSO LIKE TO SCHEDULE FOR A VIEWING, PLEASE FEEL FREE TO CONTACT ME AT ANYTIME. I Can be reached at Cell: 084-153-9883 or kagglemanager@renthop.com<br /><br /><p><a  website_redacted ",E 47 St.,"['Terrace', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'No Fee', 'Dogs Allowed', 'Cats Allowed']",low,40.753,6899246,-73.9695,e5e91eb9c964643e39094535865f391e,"['https://photos.renthop.com/2/6899246_fa2f2e7344d08d71a033cec5411ed5b3.jpg', 'https://photos.renthop.com/2/6899246_b70a42b1a5a92e392ea7ecaacc22ccb0.jpg', 'https://photos.renthop.com/2/6899246_2a03b500f9aa7e97bd2012efc68ea636.jpg', 'https://photos.renthop.com/2/6899246_8c0e59921b03b1422d640c5f7c96d202.jpg', 'https://photos.renthop.com/2/6899246_db9127352fbfbbf1836eba000277ccf6.jpg', 'https://photos.renthop.com/2/6899246_54520971909a823ec16b6cf7c4e8c745.jpg', 'https://photos.renthop.com/2/6899246_e6d52b2f13bd554d5ff1987dc8fcb23c.jpg']",5095,301 E 47 St.
100626,2.0,2,0,2016-04-15 03:29:36,"<![CDATA[2 bedrooms, 3850, Harlem / East Harlem<br /><br />Please select, Stabilized<ul><li>Ambiance Music in Common Areas</li><li>Energy Saving Lighting</li><li>Patagonian Cherry Hardwood Floors</li><li>Solid Maple Shanker Kitchen Cabinets with Espresso Finish</li><li>Quartz Countertops</li><li>Frigidaire Stainless Steel Appliances</li><li>Wicker Park Gerber fixtures in the Kitchen and Bath</li><li>Large Soaking Bathtubs</li><li>Beveled Subway Tiles in Master Baths</li><li>4000 Sq. Ft. Rooftop Garden</li><li>Service Entrance for Moving and Large Packages</li><li>4 Blocks to the B, C Trains (116th Street Station)</li><li>6 Blocks to the A, D Trains (125th Street Station)</li><li>6 Blocks to the #2, 3 Trains (116th Street Station)</li><li>About 1 Block to Morningside      Park</li></ul><br /><br />- Minimum Income: $173,250 <br /><br /><b>Please ask about this apartment by ID number</b>: 636593]]>",Manhattan Avenue,[],low,40.8071,6876602,-73.9552,7725c2b384a4e0103b802ac1b2100002,"['https://photos.renthop.com/2/6876602_1a4561cd1a0a46237bb12d730be63357.jpg', 'https://photos.renthop.com/2/6876602_d9c9513532c5ce91b753ca51d74f933c.jpg', 'https://photos.renthop.com/2/6876602_d077a987ce5708f678d61420caf5d2d6.jpg', 'https://photos.renthop.com/2/6876602_3b88efa64f2094fcf655596e11143f14.jpg', 'https://photos.renthop.com/2/6876602_c3c76310762a079fc5c20fcc963512bd.jpg']",3850,454 Manhattan Avenue
100628,1.0,0,21132562a5cee9d65d821ab34891fabf,2016-04-02 02:24:06,Spacious one bedroom located in the heart of the UPPER WEST SIDE. This beautiful apartment is located in a pre-war part time doorman building on a quiet tree lined Street just off of CENTRAL PARK WEST and features a large lvving area open kitchen and windowed tile bath. For Immediate Access Call Bryan.<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ,W 69 Street,"['Doorman', 'Elevator', 'Laundry in Unit', 'Dishwasher', 'Hardwood Floors']",medium,40.7749,6813199,-73.9782,41735645e0f8f13993c42894023f8e58,"['https://photos.renthop.com/2/6813199_d8bc4fb282c1d500eeb91b8836e50c3f.jpg', 'https://photos.renthop.com/2/6813199_7b3f024bfa36e6e7ff9f3c2ac47603bf.jpg', 'https://photos.renthop.com/2/6813199_8ed7ac901193cc1dac85774c9eb8f68b.jpg', 'https://photos.renthop.com/2/6813199_0fd10aa2a79dd07b944966c5cc258617.jpg', 'https://photos.renthop.com/2/6813199_07a75e136073195d1da085f149c242e6.jpg']",2280,19 W 69 Street
100629,1.0,0,3027007d195433b44b67a7be42c0a07e,2016-04-13 04:49:55,        ,East 19th Street,"['Elevator', 'Cats Allowed', 'Dogs Allowed']",low,40.6461,6866253,-73.9617,c55f41447269371b42b287c8dadc0479,"['https://photos.renthop.com/2/6866253_8500e43d755bfb745de70f2a9f1e5a2f.jpg', 'https://photos.renthop.com/2/6866253_1dcebd525792b9a0e4c10db75747430c.jpg', 'https://photos.renthop.com/2/6866253_7e3f8e4eae9f4a7a8fff0c879eb23b18.jpg', 'https://photos.renthop.com/2/6866253_46e79c5f25c18e5ae8429d9a340ee222.jpg', 'https://photos.renthop.com/2/6866253_9595ed32220194cb8361b478596e5f66.jpg', 'https://photos.renthop.com/2/6866253_d481608d2759ee1d62dcb23a99f1309b.jpg', 'https://photos.renthop.com/2/6866253_d064c8061dab49c5a62fb308d75b3fd1.jpg', 'https://photos.renthop.com/2/6866253_d8ab892954e93a1d695a6ed758c662c9.jpg', 'https://photos.renthop.com/2/6866253_858b36bdf28c376b97a5caa52b60a675.jpg']",1850,146 East 19th Street
100630,1.0,2,11662cfb450275fa8615a3452157ab2d,2016-04-15 06:29:55,"True two bedroom in nortern east village (union square) on a great block near transportation spacious living room newly renovated granite kitchen, subway tile bathroom shares ok<br /><br /><br /><br /><br /><br /><p><a  website_redacted ",East 13th Street,[],low,40.7318,6879298,-73.9864,781c05e464ce94eaa436401d07f2a6cc,"['https://photos.renthop.com/2/6879298_2235057378327e205a0464b44d4852e0.jpg', 'https://photos.renthop.com/2/6879298_4d3c6744afdccb7be7ec1922f848aff4.jpg', 'https://photos.renthop.com/2/6879298_ce0410a92487e87217d9c42ad73c3376.jpg']",3450,236 East 13th Street
